iter	Passed	Remaining
735	1365	489
736	1366	487
737	1368	485
738	1369	483
739	1372	482
740	1374	480
741	1376	478
742	1377	476
743	1378	474
744	1379	472
745	1381	470
746	1382	468
747	1383	466
748	1384	463
749	1386	462
750	1389	460
751	1390	458
752	1392	456
753	1393	454
754	1394	452
755	1395	450
756	1396	448
757	1398	446
758	1399	444
759	1400	442
760	1402	440
761	1404	438
762	1405	436
763	1406	434
764	1408	432
765	1409	430
766	1410	428
767	1411	426
768	1412	424
769	1414	422
770	1416	420
771	1418	418
772	1419	416
773	1420	414
774	1421	412
775	1423	410
776	1424	408
777	1425	406
778	1426	404
779	1427	402
780	1429	400
781	1431	399
782	1432	397
783	1434	395
784	1435	393
785	1436	391
786	1437	389
787	1438	387
788	1439	385
789	1441	383
790	1442	381
791	1443	379
792	1447	377
793	1448	375
794	1449	373
795	1451	371
796	1452	370
797	1454	368
798	1455	366
799	1457	364
800	1461	363
801	1462	361
802	1464	359
803	1465	357
804	1466	355
805	1467	353
806	1469	351
807	1470	349
808	1472	347
809	1473	345
810	1476	344
811	1478	342
812	1479	340
813	1482	338
814	1484	336
815	1485	335
816	1486	333
817	1488	331
818	1491	329
819	1493	327
820	1494	325
821	1496	323
822	1497	322
823	1498	320
824	1500	318
825	1503	316
826	1507	315
827	1509	313
828	1510	311
829	1512	309
830	1513	307
831	1514	305
832	1516	303
833	1517	302
834	1518	300
835	1522	298
836	1523	296
837	1524	294
838	1526	292
839	1527	290
840	1528	289
841	1530	287
842	1531	285
843	1532	283
844	1533	281
845	1535	279
846	1537	277
847	1538	275
848	1540	273
849	1541	271
850	1542	270
851	1543	268
852	1545	266
853	1546	264
854	1547	262
855	1548	260
856	1549	258
857	1552	256
858	1553	255
859	1554	253
860	1556	251
861	1557	249
862	1558	247
863	1559	245
864	1561	243
865	1562	241
866	1563	239
867	1564	237
868	1567	236
869	1569	234
870	1570	232
871	1571	230
872	1573	228
873	1574	226
874	1575	225
875	1576	223
876	1578	221
877	1579	219
878	1581	217
879	1583	215
880	1585	214
881	1586	212
882	1588	210
883	1589	208
884	1590	206
885	1591	204
886	1592	202
887	1594	201
888	1596	199
889	1598	197
890	1599	195
891	1600	193
892	1602	191
893	1603	190
894	1604	188
895	1606	186
896	1607	184
897	1608	182
898	1609	180
899	1612	179
900	1614	177
901	1615	175
902	1616	173
903	1618	171
904	1619	169
905	1620	168
906	1621	166
907	1623	164
908	1624	162
909	1626	160
910	1628	159
911	1630	157
912	1631	155
913	1632	153
914	1634	151
915	1635	149
916	1637	148
917	1638	146
918	1640	144
919	1642	142
920	1643	140
921	1644	139
922	1646	137
923	1647	135
924	1648	133
925	1650	131
926	1651	130
927	1657	128
928	1658	126
929	1660	124
930	1661	123
931	1662	121
932	1667	119
933	1670	118
934	1673	116
935	1674	114
936	1676	112
937	1677	110
938	1679	109
939	1680	107
940	1682	105
941	1691	104
942	1693	102
943	1694	100
944	1696	98
945	1697	96
946	1699	95
947	1704	93
948	1709	91
949	1712	90
950	1713	88
951	1716	86
952	1720	84
953	1723	83
954	1726	81
955	1728	79
956	1731	77
957	1734	76
958	1735	74
959	1738	72
960	1739	70
961	1741	68
962	1747	67
963	1749	65
964	1752	63
965	1753	61
966	1755	59
967	1756	58
968	1762	56
969	1765	54
970	1767	52
971	1769	50
972	1770	49
973	1778	47
974	1781	45
975	1782	43
976	1783	41
977	1785	40
978	1786	38
979	1793	36
980	1795	34
981	1796	32
982	1798	31
983	1800	29
984	1801	27
985	1807	25
986	1809	23
987	1811	21
988	1812	20
989	1813	18
990	1815	16
991	1816	14
992	1817	12
993	1820	10
994	1822	9
995	1823	7
996	1825	5
997	1826	3
998	1827	1
999	1828	0
